95	Ca	Ca14	0.166	6.500270712	0.081818	1.8	0.270844613	0.68631418
96	Ha	Ha20	0.245666667	13.97012505	3.725971889	1.5	0.297236703	0.675838504
97	SB	SB5	0.296333333	3.958987911	2.034928008	1.6	0.172129909	0.570154627
98	SB	SB2	0.272333333	12.09269195	1.178690286	3.7	0.483707678	0.917003867
99	MC	MC1	NA	2.146921233	2.363845031	6.6	0.238546804	0.740221203
100	MC	MC8	NA	0	1.85066155	8.8	NA	0.513757756
101	NS	NS4	0.13	8.486878295	1.330580316	0.7	0.212171957	0.610079359
102	Ha	Ha20	0.236666667	18.88102814	2.0974402	2	0.524473004	0.695800737
103	SH	SH8	0.182333333	4.355342219	2.709307617	3.4	0.272208889	0.791619207
104	Mu	Mu2	0.239	7.523027397	0.9763107	2.3	0.131982937	0.934133621
105	SH	SH8	0.215333333	3.557530356	1.67443815	2.5	0.222345647	0.815394299
106	Wh	Wh6	0.186666667	1.001650849	1.441077422	1.2	0.083470904	0.327713335
107	MC	MC6	0.213666667	6.402723288	0.821014688	0.7	0.152445793	0.794976683
108	SH	SH7	0.144666667	3.753708596	5.733335213	2.9	0.178748028	1.118694362
109	Ca	Ca3	0.1445	0.657714411	0	2.8	0.082214301	1.020456793
110	Ca	Ca17	0.191333333	1.133447014	1.428733925	5.4	0.161921002	0.972709289
111	BT	BT10	0.196333333	4.03883476	2.031949672	3.4	0.155339798	1.334861973
112	Ha	Ha11	0.328	5.840343144	3.946071319	2.7	0.233613726	0.865120043
113	Wh	Wh10	0.201333333	8.715806753	0.203936173	4.1	0.107602553	0.00163174
114	Tf	Tf10	0.222333333	4.404168925	0.9333792	0.3	0.137630279	0.571081737
115	MC	MC9	0.188	0.033623836	0.68001467	7.2	0.011207945	0.603497887
116	Ca	Ca8	0.187333333	3.016167041	0	4.5	0.131137697	0.617930042
117	Mu	Mu2	0.240666667	9.360493151	1.0671303	3	0.180009484	1.282933189
118	Mu	Mu20	0.249333333	9.782973219	1.283445591	1.1	0.257446664	1.028594551
119	Mu	Mu2	NA	NA	0	1	NA	0.826724215
120	BT	BT1	0.202666667	5.710707945	0.723931328	2.7	0.173051756	1.18824746
121	Ha	Ha20	0.255	10.79452243	4.744566925	0.6	0.308414927	0.685504971
122	SA	SA4	0.1625	1.539704959	0.381426183	0	0.09623156	0.816120095
123	Tf	Tf6	0.194666667	1.71139726	2.871936	-0.3	0.09007354	0.509816366
124	Hw	Hw4	0.178	1.933459212	0.497428362	2.5	0.101761011	0.588507472
125	Ha	Ha14	0.317	6.899486301	5.999361947	2.6	0.275979452	0.644901664
126	NS	NS3	0.152333333	1.659894349	2.728661963	0	0.127684181	0.712825055
127	SA	SA10	0.228	4.993762521	1.461915039	1.3	0.113494603	0.526040473
128	SA	SA9	0.206666667	0.513627699	0.269244	0	0.025681385	0.673427274
129	Ha	Ha20	0.277	1.969651178	3.8995506	1.5	0.109425065	0.560359523
130	Wh	Wh6	0.214266667	5.021433863	1.328409844	-1.8	0.200857355	0.50300739
131	MC	MC17	0.297333333	17.5699026	6.171056719	5.2	0.373827715	0.780061742
132	Mu	Mu15	0.202333333	5.268986322	2.5932324	1	0.20265332	0.946792124
133	Mu	Mu7	0.114	0	0.769614983	-2.4	NA	0.536451471
134	Ca	Ca16	0.167333333	0.047578993	0.098096978	2.4	0.011894748	0.395045021
135	Extra	ExtraNA	NA	NA	0	NA	NA	NA
136	Extra	ExtraNA	NA	NA	0	NA	NA	NA
137	SM	SM14	NA	NA	0	NA	NA	NA
138	Hw	Hw7	0.403	9.624318505	3.139176284	NA	0.234739476	0.525929341
139	SA	SA9	0.282	1.833525041	1.143947131	-1.4	0.049554731	0.631392763
140	HR	HR1	0.243	12.66745685	0.589791038	0.4	0.666708255	0.457712187
141	Mu	Mu16	0.251333333	3.79779189	1.287731517	2.6	0.10850834	1.275012321
142	Hw	Hw2	0.251333333	3.687310027	1.552469963	0.6	0.21690059	0.689173649
143	SM	SM2	0.098666667	0	2.825584505	NA	NA	NA
144	HR	HR4	0.270666667	1.180715918	1.608003286	6.1	0.056224568	0.510924922
145	ST	ST1	0.086666667	8.940358849	0	10.1	0.165562201	1.152538196
146	Hw	Hw6	0.192	3.782782356	2.963734594	2.4	0.099546904	0.828322655
147	Tf	Tf9	0.186666667	2.329224308	1.54648125	0.9	0.33274633	0.680137999
148	BT	BT2	0.195666667	3.188277945	3.6159156	-1	0.151822759	1.367011664
149	Extra	ExtraNA	NA	NA	0	NA	NA	NA
150	SA	SA20	0.194666667	3.165510822	0.427396134	-0.6	0.079137771	0.915886315
151	SM	SM3	NA	NA	0	NA	NA	NA
152	Wh	Wh12	0.130666667	0	0.540682328	3.5	NA	0.655594501
153	Mu	Mu8	0.109333333	0	0.420759873	4.3	NA	0.775998029
154	MC	MC17	0.204666667	8.492145432	2.626687775	2.4	0.566143029	0.739116149
155	SA	SA6	0.258	0	0	0.9	NA	0.790619353
156	SA	SA9	0.265666667	0	0.428648215	-1.7	NA	0.710448497
157	SH	SH5	0.189333333	0	0.94487422	4.6	NA	0.767537375
158	BT	BT20	0.225	2.813954548	1.024113653	1.4	0.281395455	0.746591571
159	BT	BT2	0.176	4.842616034	0.683489487	1.9	0.269034224	1.307294234
160	Ha	Ha13	0.376666667	12.70143025	1.182213946	2	0.488516548	0.312759759
161	SA	SA9	0.1725	4.489648644	0	-1	0.29930991	0.828733366
162	SM	SM1	NA	NA	0	NA	NA	NA
163	SA	SA11	0.248333333	0	0.770158005	0	NA	0.841876129
164	Wh	Wh13	NA	NA	0	NA	NA	NA
165	Hw	Hw7	0.4165	0	1.503586797	NA	NA	0.39252282
166	BT	BT17	0.160333333	0	1.340402963	0	NA	1.145720388
167	BT	BT15	0.231333333	0.630656795	2.401605	2.6	0.210218932	1.166995236
168	SH	SH8	0.152333333	3.031095884	1.514797681	2	0.433013698	0.578869683
169	MC	MC19	0.151	1.012546521	1.51903423	3	0.50627326	0.620913422
170	SG	SG5	0.203	1.826184904	0.878671008	0.8	0.304364151	0.706423526
171	Mu	Mu16	0.161	1.881720322	0	1.5	0.075268813	1.411110882
172	Ha	Ha5	0.278666667	3.568763527	2.120507813	3.7	0.254911681	0.649959713
173	Ha	Ha5	0.271666667	2.928420384	1.076381924	2.3	0.266220035	0.326550058
174	Ha	Ha10	0.272666667	10.14196284	2.226970386	1.8	0.111450141	0.600727228
175	SM	SM2	0.247	0	0.966008861	NA	NA	NA
176	SG	SG7	0.221	5.362060274	0.601501203	-0.6	0.137488725	0.859905378
177	Wh	Wh4	0.168666667	3.636786616	0.159927117	1.9	0.227299164	0.739623577
178	Ha	Ha20	0.311333333	4.882803719	1.413649027	2	0.195312149	0.382807872
179	Mu	Mu14	0.207	8.839238014	0.182568059	-1.8	0.294641267	0.696862452
180	Ca	Ca7	0.168666667	9.967714932	0.145322824	3.7	0.332257164	1.149164308
181	Hw	Hw3	0.184666667	6.049951808	0.356686797	1.8	0.465380908	0.646158296
182	Tf	Tf2	0.209333333	3.106155788	0.887399692	NA	0.388269473	0.644836064
183	Ga	Ga2	0.222666667	0	0.887399692	1.8	NA	0.597495406
184	MC	MC1	0.181333333	0	2.671307178	6.5	NA	0.80767721
185	ST	ST4	0.089666667	0	1.250740342	2.4	NA	1.275561432
186	Hw	Hw2	0.266333333	2.713243233	2.448698247	3.1	0.387606176	0.638534802
187	Ca	Ca15	0.187666667	0.408593973	0	2.4	0.204296986	0.565435837
188	Ca	Ca5	0.164	6.426821116	0.2794425	2.4	0.338253743	0.543147991
189	ST	ST2	0.144	8.500167123	0	7.6	0.447377217	NA
190	BT	BT4	NA	NA	0	2	NA	1.412547838
191	SH	SH2	0.273333333	6.639577397	1.896635817	5.3	0.288677278	0.667087371
192	Ca	Ca1	0.209666667	1.61458613	0	6	0.230655161	0.898094618
193	SH	SH4	0.231666667	7.92693567	2.79383017	3.2	0.283104845	1.094821269
194	Ga	Ga5	0.255	12.5273934	1.023045477	-1.2	0.223703454	0.760893036
195	MC	MC16	0.064	0	0.39947421	3.9	NA	1.207352821
196	ST	ST2	0.214666667	1.671059123	0.863452031	6.3	0.278509854	NA
197	Ca	Ca4	0.236333333	3.504221404	0.305353125	2.4	0.250301529	0.824261173
198	Wh	Wh6	0.177	6.231328459	0.132858	-0.9	0.327964656	0.646359342
199	SG	SG5	0.222	0.848941829	1.274974826	0	0.212235457	0.727750183
200	SA	SA7	0.255666667	2.886336	0.400628753	-1.2	0.1924224	0.793705724
201	BT	BT7	0.178333333	5.847289315	0.283836939	1.9	0.216566271	1.061924925
202	SM	SM17	NA	NA	0	NA	NA	NA
203	Ha	Ha18	0.221	0.650134192	1.103502308	-1.9	0.162533548	0.625234101
204	BT	BT16	0.191333333	0	2.547173594	1.5	NA	NA
205	ST	ST3	NA	NA	0	NA	NA	NA
206	SH	SH6	NA	NA	0	NA	NA	NA
207	Ca	Ca4	0.178666667	2.375319205	0	1.8	0.395886534	0.673117006
208	ST	ST7	0.274666667	3.761793863	0	3.1	0.208988548	NA
209	SA	SA2	0.144666667	0	0.945720785	NA	NA	0.368589496
210	SM	SM1	NA	NA	0	NA	NA	NA
211	BT	BT5	0.213666667	2.578301301	0	5.1	0.184164379	0.657708028
212	SM	SM8	0.199666667	4.937213096	0.167085169	1.1	0.224418777	NA
213	ST	ST6	0.152666667	2.451448781	0.362374768	6	0.204287398	NA
214	Tf	Tf9	0.1405	0	0.071728631	0.2	NA	0.499383049
215	Mu	Mu6	0.102666667	0	0	NA	NA	0.437919334
216	Ha	Ha14	0.233	5.315835616	1.347501088	2.1	0.253135029	0.710085785
217	Tf	Tf4	0.165333333	12.55281959	0.646603528	0.9	0.330337358	0.625309901
218	Ca	Ca7	0.124333333	4.382507548	0	3.2	0.273906722	0.831284097
219	Tf	Tf5	0.217	3.094962493	0.226639051	0.4	0.238074038	0.441861412
220	Wh	Wh1	0.159	1.987237349	0.18585055	1.8	0.22080415	0.36500347
221	Mu	Mu19	0.254	19.1687531	0	0.7	0.479218827	0.906286396
222	Ga	Ga5	0.302	5.938089473	0.491789719	2.4	0.179942105	0.9376158
223	SA	SA2	0.168	1.397039342	0.804119626	-1.8	0.155226594	0.516782012
224	SA	SA9	0.23	1.384140699	0.215744721	-0.8	0.230690116	0.656418747
225	SB	SB5	0.186	1.562958658	1.99167234	2.8	0.223279808	0.772085921
226	SM	SM10	0.206333333	0.658062658	1.55563299	3.9	0.329031329	1.0580678
227	Wh	Wh1	0.109666667	5.581754199	0.95697424	-1.1	0.265797819	0.625715158
228	Tf	Tf11	0.242	0	1.032769496	0	NA	0.625898402
229	SH	SH3	0.207666667	0	2.178643482	NA	NA	0.535935986
230	MC	MC20	0.208333333	3.271978082	0.760310721	3.9	0.192469299	0.742319047
231	BT	BT12	0.144666667	1.066253425	2.286309544	2.5	0.266563356	0.947897791
232	Ca	Ca19	0.1845	13.08797523	0	4.7	0.39660531	0.860124198
233	Mu	Mu7	0.059333333	0	0.314030993	NA	NA	0.665478978
234	Mu	Mu5	0.204666667	1.228694575	0.356237614	0.7	0.175527796	0.868085106
235	Ha	Ha14	0.2015	0	0.147776743	NA	NA	0.694901387
236	Hw	Hw2	0.263333333	0	2.877202384	2.4	NA	0.655482032
237	SM	SM17	NA	NA	0	NA	NA	NA
238	Mu	Mu13	0.156333333	0	0.249036616	0	NA	0.763454005
239	Tf	Tf12	0.11	0.559139014	0.092205379	0	0.279569507	0.545454545
240	SM	SM8	0.164666667	5.0616	1.508779844	2.6	0.194676923	0.001075723
241	ST	ST4	0.128333333	4.922306445	1.14179512	5.9	0.158784079	1.022986868
242	SB	SB2	0.233666667	4.89148661	0.600667672	5.9	0.326099107	0.692816462
243	BT	BT11	0.13	8.526428938	2.162348237	2.6	0.370714302	1.128290746
244	Tf	Tf14	0.174333333	0	0.50844132	0.6	NA	0.599796396
245	SA	SA16	0.1735	0	0.117700944	-1.7	NA	0.521536996
246	Ha	Ha11	0.288666667	4.326093863	2.57298	-1.1	0.20600447	0.657612305
247	BT	BT4	0.175	0	2.925063337	-0.1	NA	1.671953578
248	BT	BT19	0.167	1.044493151	1.63699332	4.8	0.149213307	1.305426041
249	NS	NS4	0.148	1.994401541	0.992358191	-0.9	0.284914506	0.84460959
250	NS	NS3	0.162666667	4.012842082	0.862978885	1.8	0.286631577	0.837259493
251	Ca	Ca1	0.159	3.108825123	0	3.7	0.207255008	0.941097424
252	SB	SB4	0.289333333	8.406189849	0.064842778	7.2	0.164827252	0.949913468
253	SA	SA18	0.1725	4.360363815	0.150630125	1.1	0.150357373	0.964328617
254	SA	SA9	0.229666667	0.545241205	0	-2.7	0.041941631	0.794339815
255	Ha	Ha13	0.285	3.350985205	1.123709044	2.5	0.197116777	0.457090502
256	SM	SM10	0.173	0.545241205	3.487325105	2.6	0.109048241	0.740348591
257	Ca	Ca11	0.258333333	0.408593973	0	0.5	0.058370568	0.875129797
258	Tf	Tf11	0.139666667	0.968332192	0.299487318	NA	0.13833317	0.673236282
259	ST	ST7	0.197	3.705420719	0.22953915	4.7	0.119529701	NA
260	Ga	Ga3	0.258666667	2.087885589	0.305568166	0	0.160606584	0.601149281
261	Hw	Hw3	0.23	6.494223452	2.757859932	3.8	0.16651855	0.450249415
262	Tf	Tf13	0.175	1.537829699	0.144975296	-0.7	0.170869967	0.364478155
263	MC	MC5	0.199333333	1.044493151	3.022415648	3.3	0.104449315	0.848783467
264	Tf	Tf3	0.175333333	0	0.714642484	1.2	NA	0.654056805
265	Mu	Mu6	0.114	0	0.210249584	NA	NA	0.780515118
266	BT	BT7	0.092	1.307565575	1.019731225	2.9	0.186795082	1.146900132
267	Tf	Tf12	0.195666667	0.367073753	0.252969411	3.2	0.122357918	0.673541688
268	BT	BT5	0.159333333	1.12065411	1.333729408	1.6	0.101877646	1.348854729
269	SH	SH5	0.225666667	8.694491178	0.411028912	2.4	0.362270466	0.724137229
270	SG	SG6	0.167	21.89482923	0.253209604	-2.4	0.429310377	0.379551645
271	SG	SG7	0.165	4.268562411	1.055354768	0	0.170742496	0.462359588
272	SA	SA19	0.209333333	2.758890411	0.364387765	-1.3	0.131375734	0.805741627
273	SA	SA15	0.215	0.293991288	0	0	0.058798258	0.67856696
274	Mu	Mu7	0.139333333	0	0	0	NA	0.735233635
275	SH	SH5	0.153333333	0	0.72661412	NA	NA	0.770972471
276	Mu	Mu20	0.216	4.380457658	1.032630161	-0.2	0.146015255	0.818656091
277	MC	MC13	0.143	0	0.565978941	2.3	NA	0.809223252
278	Extra	ExtraNA	NA	NA	0	NA	NA	NA
279	SG	SG2	0.1875	0.965992658	0	NA	0.160998776	0.669510333
280	Extra	ExtraNA	NA	NA	0	NA	NA	NA
281	Ha	Ha12	0.33	5.24649863	1.025189868	0.9	0.276131507	0.750300316
282	Tf	Tf1	0.226333333	1.111984932	0.755397594	0	0.138998116	0.728738675
283	Wh	Wh5	0.200333333	0.579903123	1.20945255	-1.1	0.144975781	0.675680078
284	SA	SA16	0.1795	2.773643836	0.344805623	-1.1	0.12607472	0.545793187
285	SH	SH5	0.240333333	6.625255808	0.409597183	2.5	0.11042093	0.923709661
286	Mu	Mu15	0.2115	1.014830466	0	1	0.144975781	1.242390308
287	Ga	Ga6	0.228666667	1.306416329	0.392538741	-0.1	0.186630904	0.818255173
288	ST	ST4	0.155	2.897784247	0.619670799	2.7	0.15251496	1.385602582
289	Ca	Ca16	0.163666667	0	0	0	NA	0.719890108
290	BT	BT8	0.135666667	5.561798137	2.706702323	1.8	0.123595514	1.207335114
291	Hw	Hw7	0.439666667	0	1.299784958	NA	NA	0.718353154
